time_s,CH1_V,CH2_V
-0.44591,0.0004,-0.0844
-0.4459,-0.0004,-0.0844
-0.44589,-0.0004,-0.0844
-0.44588,-0.0004,-0.0844
-0.44587,0.0004,-0.0844
-0.44586,0.0004,-0.0844
-0.44584999999999997,-0.0012000000000000001,-0.0844
-0.44584,-0.002,-0.0844
-0.44583,-0.0012000000000000001,-0.0844
-0.44582,-0.002,-0.0844
-0.44581,0.0004,-0.0844
-0.4458,0.0004,-0.0844
-0.44579,-0.0012000000000000001,-0.0844
-0.44578,0.0004,-0.0844
-0.44577,-0.0012000000000000001,-0.0844
-0.44576,-0.0004,-0.0844
-0.44575,0.0004,-0.0844
-0.44574,-0.0004,-0.0844
-0.44573,-0.0004,-0.0844
-0.44572,-0.0012000000000000001,-0.0844
-0.44571,-0.0004,-0.0844
-0.4457,0.0004,-0.0844
-0.44569,-0.0004,-0.0844
-0.44567999999999997,-0.0004,-0.0844
-0.44567,-0.0004,-0.0844
-0.44566,-0.0012000000000000001,-0.0844
-0.44565,0.002,-0.0844
-0.44564,0.0004,-0.0844
-0.44562999999999997,0.0004,-0.0844
-0.44562,-0.0004,-0.0844
-0.44561,-0.0004,-0.0844
-0.4456,-0.0012000000000000001,-0.0844
-0.44559,-0.0004,-0.0844
-0.44558,-0.0012000000000000001,-0.0844
-0.44557,-0.0012000000000000001,-0.0844
-0.44556,0.0012000000000000001,-0.0844
-0.44555,-0.0004,-0.0844
-0.44554,0.0004,-0.0844
-0.44553,-0.0012000000000000001,-0.0844
-0.44551999999999997,0.0004,-0.0844
-0.44551,-0.0004,-0.0844
-0.4455,-0.0012000000000000001,-0.0844
-0.44549,0.0004,-0.0844
-0.44548,0.0004,-0.0844
-0.44547,-0.0004,-0.0844
-0.44545999999999997,-0.0004,-0.0844
-0.44545,-0.0004,-0.0844
-0.44544,0.0004,-0.0844
-0.44543,-0.0004,-0.0844
-0.44542,0.0004,-0.0844
-0.44541,0.0004,-0.0844
-0.4454,-0.0004,-0.0844
-0.44539,0.0004,-0.0844
-0.44538,0.0004,-0.0844
-0.44537,-0.0004,-0.0844
-0.44536,0.0012000000000000001,-0.0844
-0.44535,-0.0004,-0.0844
-0.44534,-0.0012000000000000001,-0.0844
-0.44533,-0.0004,-0.0844
-0.44532,0.0004,-0.0844
-0.44531,0.0004,-0.0844
-0.4453,-0.0012000000000000001,-0.0844
-0.44529,0.0012000000000000001,-0.0844
-0.44528,0.0004,-0.0844
-0.44527,0.0012000000000000001,-0.0844
-0.44526,-0.0004,-0.0844
-0.44525,0.0004,-0.0844
-0.44523999999999997,-0.002,-0.0844
-0.44523,-0.0012000000000000001,-0.0844
-0.44522,-0.0004,-0.0844
-0.44521,-0.0012000000000000001,-0.0844
-0.4452,0.0004,-0.0844
-0.44519,0.0004,-0.0844
-0.44518,-0.0004,-0.0844
-0.44517,0.0004,-0.0844
-0.44516,-0.0012000000000000001,-0.0844
-0.44515,-0.0004,-0.0844
-0.44514,-0.0012000000000000001,-0.0844
-0.44513,-0.0004,-0.0844
-0.44512,-0.0012000000000000001,-0.0844
-0.44511,-0.0004,-0.0844
