TIME,CH1,CH2,FREQ
0.28029000000000004,0.0332,0.058,456774306079452.312500
0.2803000000000001,0.0316,0.058800000000000005,456774306079452.312500
0.28031000000000006,0.0332,0.0572,456774306079452.312500
0.28032,0.034800000000000005,0.058800000000000005,456774306079452.312500
0.2803300000000001,0.034,0.058,456774306079452.312500
0.28034000000000003,0.034,0.058,456774306079452.312500
0.2803500000000001,0.0364,0.058,456774306079452.312500
0.28036000000000005,0.0364,0.058,456774306079452.312500
0.2803700000000001,0.0332,0.058800000000000005,456774306079452.312500
0.2803800000000001,0.0332,0.0572,456774306079452.312500
0.28039000000000003,0.034800000000000005,0.0572,456774306079452.312500
0.2804000000000001,0.0364,0.055600000000000004,456774306079452.312500
0.28041000000000005,0.038,0.0596,456774306079452.312500
0.2804200000000001,0.037200000000000004,0.054,456774306079452.312500
0.28043000000000007,0.0356,0.058,456774306079452.312500
0.28044,0.034800000000000005,0.055600000000000004,456774306079452.312500
0.2804500000000001,0.0364,0.058,456774306079452.312500
0.28046000000000004,0.034800000000000005,0.0548,456774306079452.312500
0.2804700000000001,0.0316,0.0596,456774306079452.312500
0.28048000000000006,0.0324,0.058800000000000005,456774306079452.312500
0.28049,0.0228,0.058800000000000005,456774306079452.312500
0.2805000000000001,0.0204,0.0516,456774306079452.312500
0.28051000000000004,0.027600000000000003,0.058800000000000005,456774306079452.312500
0.2805200000000001,0.034,0.056400000000000006,456774306079452.312500
0.28053000000000006,0.0332,0.0572,456774306079452.312500
0.28054,0.0356,0.053200000000000004,456774306079452.312500
0.2805500000000001,0.0324,0.050800000000000005,456774306079452.312500
0.28056000000000003,0.034800000000000005,0.0516,456774306079452.312500
0.2805700000000001,0.0308,0.0572,456774306079452.312500
0.28058000000000005,0.0332,0.058,456774306079452.312500
0.2805900000000001,0.034,0.0596,456774306079452.312500
0.28060000000000007,0.0324,0.056400000000000006,456774306079452.312500
0.28061,0.034,0.0572,456774306079452.312500
0.2806200000000001,0.0364,0.0596,456774306079452.312500
0.28063000000000005,0.0268,0.0596,456774306079452.312500
0.2806400000000001,0.0324,0.058,456774306079452.312500
0.28065000000000007,0.027600000000000003,0.0572,456774306079452.312500
0.28066,0.034800000000000005,0.058,456774306079452.312500
0.2806700000000001,0.0252,0.0572,456774306079452.312500
0.28068000000000004,0.0316,0.048400000000000006,456774306079452.312500
0.2806900000000001,0.034,0.0572,456774306079452.312500
0.28070000000000006,0.038,0.055600000000000004,456774306079452.312500
